Question,Answer
What is your return policy?,You can return products within 30 days with the original receipt.
How can I track my order?,Use the tracking link sent to your email after shipping.
Do you offer international shipping?,"Yes, we ship to more than 50 countries worldwide."
How do I cancel my order?,Contact customer support before the item is shipped.
What payment methods do you accept?,"We accept Visa, MasterCard, PayPal, and UPI."
How can I contact customer support?,You can email support@example.com or call 1800-123-456.
How long does delivery take?,Delivery usually takes 3-7 business days.
Can I exchange a product?,"Yes, exchanges are available within 30 days."
Do you provide cash on delivery?,"Yes, COD is available in selected locations."
How do I reset my password?,Click on the 'Forgot Password' option on the login page.
